2017-12-29 15:31:30,500 INFO  [Log] 清空日志成功！ 
2017-12-29 15:31:31,880 INFO  [Log] 写入excel表格的token为：e331db7c-c996-4230-b43c-7e072fa94c7e 
2017-12-29 15:31:31,890 INFO  [Log] =========================操作token开始========================= 
2017-12-29 15:31:31,890 INFO  [Log] 测试数据表格：C:\Users\Administrator\eclipse-workspace\autoTest\autotest\TestData\testData.xlsx 
2017-12-29 15:31:31,890 INFO  [Log] 读取sheet: api 
2017-12-29 15:31:32,669 INFO  [Log] =========================操作token结束========================= 
2017-12-29 15:31:32,669 INFO  [Log] 用户token写入excel成功！ 
2017-12-29 15:31:32,674 INFO  [Log] =========================表格测试数据读取开始========================= 
2017-12-29 15:31:32,674 INFO  [Log] 测试数据表格：C:\Users\Administrator\eclipse-workspace\autoTest\autotest\TestData\testData.xlsx 
2017-12-29 15:31:32,674 INFO  [Log] 读取sheet: address 
2017-12-29 15:31:32,766 INFO  [Log] --------------------第1组测试数据-------------------- 
2017-12-29 15:31:32,774 INFO  [Log] postData：{"contact":"大爷134","phone":13414672775,"gender":1,"regionId":813395,"latitude":22.408965,"longitude":113.826119,"room1":"1123Az","village":"东角山","city1":"深圳","addressNaviId":18039,"building":"自动化测试楼栋C栋（勿删）","addressBuildingId":256} 
2017-12-29 15:31:32,774 INFO  [Log] expectValue：成功 
2017-12-29 15:31:32,774 INFO  [Log] --------------------第2组测试数据-------------------- 
2017-12-29 15:31:32,774 INFO  [Log] postData：{"contact":"大爷135","phone":13514672775,"gender":1,"regionId":813395,"latitude":22.408965,"longitude":113.826119,"room1":"1123Az","village":"东角山","city1":"深圳","addressNaviId":18039,"building":"自动化测试楼栋C栋（勿删）","addressBuildingId":256} 
2017-12-29 15:31:32,774 INFO  [Log] expectValue：成功 
2017-12-29 15:31:32,774 INFO  [Log] --------------------第3组测试数据-------------------- 
2017-12-29 15:31:32,775 INFO  [Log] postData：{"contact":"大爷136","phone":13614672775,"gender":1,"regionId":813395,"latitude":22.408965,"longitude":113.826119,"room1":"1123Az","village":"东角山","city1":"深圳","addressNaviId":18039,"building":"自动化测试楼栋C栋（勿删）","addressBuildingId":256} 
2017-12-29 15:31:32,775 INFO  [Log] expectValue：成功 
2017-12-29 15:31:32,776 INFO  [Log] --------------------第4组测试数据-------------------- 
2017-12-29 15:31:32,776 INFO  [Log] postData：{"contact":"大爷137","phone":13714672775,"gender":1,"regionId":813395,"latitude":22.408965,"longitude":113.826119,"room1":"1123Az","village":"东角山","city1":"深圳","addressNaviId":18039,"building":"自动化测试楼栋C栋（勿删）","addressBuildingId":256} 
2017-12-29 15:31:32,776 INFO  [Log] expectValue：成功 
2017-12-29 15:31:32,776 INFO  [Log] --------------------第5组测试数据-------------------- 
2017-12-29 15:31:32,776 INFO  [Log] postData：{"contact":"大爷138","phone":13814672775,"gender":1,"regionId":813395,"latitude":22.408965,"longitude":113.826119,"room1":"1123Az","village":"东角山","city1":"深圳","addressNaviId":18039,"building":"自动化测试楼栋C栋（勿删）","addressBuildingId":256} 
2017-12-29 15:31:32,776 INFO  [Log] expectValue：成功 
2017-12-29 15:31:32,776 INFO  [Log] --------------------第6组测试数据-------------------- 
2017-12-29 15:31:32,776 INFO  [Log] postData：{"contact":"大爷139","phone":13914672775,"gender":1,"regionId":813395,"latitude":22.408965,"longitude":113.826119,"room1":"1123Az","village":"东角山","city1":"深圳","addressNaviId":18039,"building":"自动化测试楼栋C栋（勿删）","addressBuildingId":256} 
2017-12-29 15:31:32,776 INFO  [Log] expectValue：成功 
2017-12-29 15:31:32,776 INFO  [Log] --------------------第7组测试数据-------------------- 
2017-12-29 15:31:32,777 INFO  [Log] postData：{"contact":"大爷150","phone":15014672775,"gender":1,"regionId":813395,"latitude":22.408965,"longitude":113.826119,"room1":"1123Az","village":"东角山","city1":"深圳","addressNaviId":18039,"building":"自动化测试楼栋C栋（勿删）","addressBuildingId":256} 
2017-12-29 15:31:32,777 INFO  [Log] expectValue：成功 
2017-12-29 15:31:32,777 INFO  [Log] --------------------第8组测试数据-------------------- 
2017-12-29 15:31:32,777 INFO  [Log] postData：{"contact":"大爷151","phone":15114672775,"gender":1,"regionId":813395,"latitude":22.408965,"longitude":113.826119,"room1":"1123Az","village":"东角山","city1":"深圳","addressNaviId":18039,"building":"自动化测试楼栋C栋（勿删）","addressBuildingId":256} 
2017-12-29 15:31:32,777 INFO  [Log] expectValue：成功 
2017-12-29 15:31:32,777 INFO  [Log] --------------------第9组测试数据-------------------- 
2017-12-29 15:31:32,778 INFO  [Log] postData：{"contact":"大爷152","phone":15214672775,"gender":1,"regionId":813395,"latitude":22.408965,"longitude":113.826119,"room1":"1123Az","village":"东角山","city1":"深圳","addressNaviId":18039,"building":"自动化测试楼栋C栋（勿删）","addressBuildingId":256} 
2017-12-29 15:31:32,778 INFO  [Log] expectValue：成功 
2017-12-29 15:31:32,778 INFO  [Log] --------------------第10组测试数据-------------------- 
2017-12-29 15:31:32,778 INFO  [Log] postData：{"contact":"大爷157","phone":15714672775,"gender":1,"regionId":813395,"latitude":22.408965,"longitude":113.826119,"room1":"1123Az","village":"东角山","city1":"深圳","addressNaviId":18039,"building":"自动化测试楼栋C栋（勿删）","addressBuildingId":256} 
2017-12-29 15:31:32,778 INFO  [Log] expectValue：成功 
2017-12-29 15:31:32,778 INFO  [Log] --------------------第11组测试数据-------------------- 
2017-12-29 15:31:32,779 INFO  [Log] postData：{"contact":"大爷158","phone":15814672775,"gender":1,"regionId":813395,"latitude":22.408965,"longitude":113.826119,"room1":"1123Az","village":"东角山","city1":"深圳","addressNaviId":18039,"building":"自动化测试楼栋C栋（勿删）","addressBuildingId":256} 
2017-12-29 15:31:32,779 INFO  [Log] expectValue：成功 
2017-12-29 15:31:32,779 INFO  [Log] --------------------第12组测试数据-------------------- 
2017-12-29 15:31:32,779 INFO  [Log] postData：{"contact":"大爷159","phone":15914672775,"gender":1,"regionId":813395,"latitude":22.408965,"longitude":113.826119,"room1":"1123Az","village":"东角山","city1":"深圳","addressNaviId":18039,"building":"自动化测试楼栋C栋（勿删）","addressBuildingId":256} 
2017-12-29 15:31:32,780 INFO  [Log] expectValue：成功 
2017-12-29 15:31:32,780 INFO  [Log] --------------------第13组测试数据-------------------- 
2017-12-29 15:31:32,780 INFO  [Log] postData：{"contact":"大爷182","phone":18214672775,"gender":1,"regionId":813395,"latitude":22.408965,"longitude":113.826119,"room1":"1123Az","village":"东角山","city1":"深圳","addressNaviId":18039,"building":"自动化测试楼栋C栋（勿删）","addressBuildingId":256} 
2017-12-29 15:31:32,780 INFO  [Log] expectValue：成功 
2017-12-29 15:31:32,781 INFO  [Log] --------------------第14组测试数据-------------------- 
2017-12-29 15:31:32,781 INFO  [Log] postData：{"contact":"大爷183","phone":18314672775,"gender":1,"regionId":813395,"latitude":22.408965,"longitude":113.826119,"room1":"1123Az","village":"东角山","city1":"深圳","addressNaviId":18039,"building":"自动化测试楼栋C栋（勿删）","addressBuildingId":256} 
2017-12-29 15:31:32,781 INFO  [Log] expectValue：成功 
2017-12-29 15:31:32,781 INFO  [Log] --------------------第15组测试数据-------------------- 
2017-12-29 15:31:32,781 INFO  [Log] postData：{"contact":"大爷184","phone":18414672775,"gender":1,"regionId":813395,"latitude":22.408965,"longitude":113.826119,"room1":"1123Az","village":"东角山","city1":"深圳","addressNaviId":18039,"building":"自动化测试楼栋C栋（勿删）","addressBuildingId":256} 
